DISTRICT,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,SHEEPS NO.,SHEEP WOOL PRODUCED,Horses/Asses,Rabbit,YAK/NAK/CHAURI,AREA (Ha.),PROD. (Mt.),YIELD Kg/Ha
C.TERAI,22453,24,8295,1743,13559,46,46120,3663381,28732,463886,2304,466190,116829,157331,85684,141074,226758,7775,5772,0,0,0,0,0,0
C.REGION,50244,256,16893,4432,28728,67,100620,7118554.32,49572,756783,3907,760690,263728,377741,177815,358483,536299,77126,57295,1468,5304,12484,0,0,0
MANANG,0,12,56,2,8,0,78,2083,10,210,1,211,452,0,259,0,259,5693,4354,502,35,3272,0,0,0
MUSTANG,6,22,139,1,5,0,173,1488,3,406,0,406,1109,49,635,35,670,6564,4877,1856,0,6059,0,0,0
W.MOUNTAIN,6,34,195,3,13,0,251,3571,13,616,1,617,1561,49,894,35,929,12257,9231,0,0,0,0,0,0
GORKHA,3147,100,815,197,691,1,4951,78538,425,4598,32,4630,14927,17250,7653,10468,18121,29760,22111,854,48,4636,0,0,0
LAMJUNG,1416,54,621,111,504,1,2707,47196,381,7433,29,7462,4887,11062,4241,11622,15863,15961,11859,21,76,25,0,0,0
TANAHU,3347,2,752,152,225,1,4479,91121,318,14352,24,14376,14942,30798,9678,32272,41950,548,407,16,498,0,0,0,0
KASKI,4583,117,839,659,1738,19,7955,451830,5226,42827,324,43151,8879,37592,9782,31234,41016,16417,12197,381,1484,439,0,0,0
PARBAT,1231,18,374,212,280,9,2124,46229,8150,6252,525,6777,5655,9281,3450,10161,13611,5491,4079,1043,697,0,0,0,0
SYANGJA,3177,40,1129,253,456,3,5058,116948,2888,5846,219,6065,5694,24818,6805,49275,56080,2401,1580,17,384,0,0,0,0
PALPA,2514,7,1043,305,376,2,4247,96610,1790,9004,136,9140,11434,23688,6552,21850,28402,2654,1971,0,888,0,0,0,0
MYAGDI,1256,40,385,1106,405,1,3193,32043,501,3081,38,3119,5562,8412,3507,9301,12808,9978,7411,582,1133,392,0,0,0
BAGLUNG,2124,19,578,109,297,1,3128,57523,1370,2199,104,2303,8950,22929,5128,18093,23221,6851,5090,1250,120,0,0,0,0
GULMI,1446,23,821,160,273,0,2723,33577,266,3837,20,3857,6860,11742,4346,11233,15579,6942,5157,54,331,0,0,0,0
ARGHAKHANCHI,3246,2,638,42,303,0,4231,77924,118,7289,7,7296,6219,27698,3805,25232,29037,496,369,17,152,0,0,0,0
W.HILLS,27487,422,7995,3306,5548,38,44796,1129538,21433,106718,1458,108176,94009,225270,64947,230740,295687,97499,72231,0,0,0,0,0,0
NAWALPARASI,3644,27,1455,348,1665,12,7151,398655,11550,41068,878,41946,25737,28668,18451,33596,52047,11128,5837,0,0,0,0,0,0
RUPANDEHI,4916,15,1724,355,1677,12,8699,83033,10848,9758,824,10582,17934,38402,12120,26493,38613,4525,2512,16,988,0,0,0,0
KAPILBASTU,4423,63,1171,115,511,3,6286,131159,10412,4898,802,5700,15319,48934,8778,24751,33529,18680,11920,142,1567,0,0,0,0
W.TERAI,12983,105,4350,818,3853,27,22136,612847,32810,55724,2504,58228,58990,116004,39349,84840,124189,34333,20269,1038,514,0,0,0,0
W.REGION,40476,561,12540,4127,9414,65,67183,1745955.36,54256,163058,3963,167021,154560,341323,105190,315616,420806,144089,101731,7789,8915,14823,0,0,0
DOLPA,74,112,270,2,7,0,465,1706,33,269,2,271,2043,713,1100,514,1614,33343,24773,4115,223,6850,0,0,0
MUGU,328,151,142,1,20,0,642,5233,33,601,2,603,5102,2092,2123,1420,3543,45027,33455,5347,131,2076,0,0,0
HUMLA,64,96,125,2,10,0,297,2835,40,446,2,448,1677,496,961,421,1382,28642,21281,4523,524,7698,0,0,0
JUMLA,106,240,202,16,29,0,593,2605,303,450,21,471,6206,585,2554,507,3061,72530,53889,6769,959,545,0,0,0
KALIKOT,649,103,277,3,24,0,1056,8877,86,602,7,609,3386,4077,1140,3018,4158,30732,22833,1035,333,604,0,0,0
MW.MOUNTAIN,1221,702,1016,24,90,0,3053,21256,495,2368,34,2402,18414,7963,7878,5880,13758,210274,156231,0,0,0,0,0,0
RUKUM,1654,47,760,389,293,1,3144,75281,1445,2872,110,2982,4910,11696,2912,12069,14981,28883,21460,1637,3144,62,0,0,0
ROLPA,1492,50,806,401,219,0,2968,40092,91,3315,7,3322,14535,15159,5270,9110,14380,15687,11655,129,0,0,0,0,0
PYUTHAN,1594,55,522,245,465,0,2881,111477,19,4025,1,4026,9641,18704,5524,12143,17667,14667,10897,12,0,0,0,0,0
SALYAN,3206,60,833,245,265,1,4610,24348,757,3855,58,3913,13535,19579,5026,13490,18516,17764,13198,278,0,0,0,0,0
JAJARKOT,975,83,617,47,203,0,1925,14589,91,2298,5,2303,5869,9102,3002,8763,11765,24675,18333,6021,1097,0,0,0,0
DAILEKH,2145,50,578,142,167,0,3082,43020,313,6776,26,6802,9438,24351,5408,13942,19350,14774,10977,154,1256,0,0,0,0
SURKHET,2456,24,1634,368,789,2,5273,111258,2028,10525,162,10687,19904,9317,11405,8419,19824,11608,8624,265,3816,0,0,0,0
MW.HILLS,13522,369,5750,1837,2401,4,23883,420065,4744,33666,369,34035,77832,107908,38547,77936,116483,128058,95144,0,0,0,0,0,0
DANG,3507,115,3352,679,1604,4,9261,411349,3223,54787,260,55047,18630,31882,9984,18043,28027,34091,25329,317,0,0,106,74,700
BANKE,3256,42,1652,620,785,1,6356,194508,858,13063,65,13128,14060,36201,8956,31062,40018,11609,8625,3963,0,0,27,41,1519
BARDIYA,3405,35,1758,610,474,1,6283,123536,1214,15457,92,15549,15932,27931,10792,27784,38576,13025,9677,559,0,0,10,12,1200
MW.TERAI,10168,192,6762,1909,2863,6,21900,729393,5295,83307,417,83724,48622,96014,29732,76889,106621,58725,43631,0,0,0,0,0,0
MW.REGION,24911,1263,13528,3770,5354,10,48836,1170714.06,10534,119341,820,120161,144868,211885,76157,160705,236862,397057,295006,35124,11483,17835,0,0,0
BAJURA,708,66,451,26,38,0,1289,9844,198,852,15,867,12019,5534,4887,4801,9688,19672,14616,1262,285,89,0,0,0
BAJHANG,1208,89,572,34,40,0,1943,8917,188,985,14,999,15936,9679,4600,4149,8749,26452,19653,724,148,381,0,0,0
DARCHULA,768,68,437,9,31,0,1313,6723,101,778,6,784,9682,8560,4548,7430,11978,22861,16985,753,522,422,0,0,0
FW.MOUNTAIN,2684,223,1460,69,109,0,4545,25484,487,2615,35,2650,37637,23773,14035,16380,30415,68985,51254,0,0,0,0,0,0
ACHHAM,1329,10,710,6,47,0,2102,12096,143,1905,9,1914,5796,10381,3321,9010,12331,3085,2400,95,0,0,0,0,0
DOTI,1625,2,840,40,106,0,2613,22999,80,3622,7,3629,15432,10381,7843,9010,16853,662,491,252,432,0,0,0,0
BAITADI,1727,1,730,12,14,0,2484,3509,107,594,6,600,9845,12699,4641,10184,14825,304,225,484,0,0,0,0,0
DADELDHURA,1011,1,823,29,70,0,1934,10131,205,1596,17,1613,13963,6108,7045,5301,12346,315,234,241,0,0,0,0,0
FW.HILLS,5692,14,3103,87,237,0,9133,48735,535,7717,39,7756,45036,39569,22850,33505,56355,4366,3350,0,0,0,0,0,0
KAILALI,5962,71,1480,469,1303,4,9289,277409.3,3418,16928,275,17203,27758,41103,27905,36677,64582,21267,15801,0,0,0,0,0,0
KANCHANPUR,3816,27,850,360,1085,2,6140,186108,1932,13483,155,13638,20164,27812,23146,25876,49022,7953,5909,0,0,0,0,0,0
FW.TERAI,9778,98,2330,829,2388,6,15429,463517.8,5350,30411,430,30841,47922,68915,51051,62553,113604,29220,21710,0,0,0,0,0,0
FW.REGION,18154,335,6893,985,2734,6,29107,537737,6372,40743,504,41247,130595,132257,87936,112438,200374,102571,76314,3811,1387,892,0,0,0
NEPAL,175005,2684,65583,23509,55041,237,322059,12353515,180927,1294166,13906,1308072,1026135,1355384,643806,1210441,5562743,800658,588348,55808,32213,68831,143,127,890
