,district,horses/asses,milking  cows no.,milking  buffaloes no.,cow milk,buff milk,total milk produced,buff,mutton,chevon,pork ,chicken,duck meat,total meat,area (ha.),prod. (mt.),yield kg/ha,laying hen,laying duck,hen egg,duck egg,total egg,rabbit,sheeps no.,sheep wool produced,yak/nak/chauri,region
29,NAWALPARASI,16.0,25737,28668,18451,33596,52047.0,3644,27,1455,348,1665,12,7151,0.0,0.0,0.0,398655.0,11550,41068,878,41946,988.0,11128,5837,0.0,(4) GANDAKI - Terai
30,RUPANDEHI,142.0,17934,38402,12120,26493,38613.0,4916,15,1724,355,1677,12,8699,0.0,0.0,0.0,83033.0,10848,9758,824,10582,1567.0,4525,2512,0.0,(5) LUMBINI - Terai
31,KAPILBASTU,1038.0,15319,48934,8778,24751,33529.0,4423,63,1171,115,511,3,6286,0.0,0.0,0.0,131159.0,10412,4898,802,5700,514.0,18680,11920,0.0,(5) LUMBINI - Terai
32,DOLPA,4115.0,2043,713,1100,514,1614.0,74,112,270,2,7,0,465,0.0,0.0,0.0,1706.0,33,269,2,271,223.0,33343,24773,6850.0,(6) KARNALI - Himalayan
33,MUGU,5347.0,5102,2092,2123,1420,3543.0,328,151,142,1,20,0,642,0.0,0.0,0.0,5233.0,33,601,2,603,131.0,45027,33455,2076.0,(6) KARNALI - Himalayan
34,JUMLA,6769.0,6206,585,2554,507,3061.0,106,240,202,16,29,0,593,0.0,0.0,0.0,2605.0,303,450,21,471,959.0,72530,53889,545.0,(6) KARNALI - Himalayan
35,HUMLA,4523.0,1677,496,961,421,1382.0,64,96,125,2,10,0,297,0.0,0.0,0.0,2835.0,40,446,2,448,524.0,28642,21281,7698.0,(6) KARNALI - Himalayan
36,KALIKOT,1035.0,3386,4077,1140,3018,4158.0,649,103,277,3,24,0,1056,0.0,0.0,0.0,8877.0,86,602,7,609,333.0,30732,22833,604.0,(6) KARNALI - Hill
37,RUKUM,1637.0,4910,11696,2912,12069,14981.0,1654,47,760,389,293,1,3144,0.0,0.0,0.0,75281.0,1445,2872,110,2982,3144.0,28883,21460,62.0,(5) LUMBINI - Hill
38,ROLPA,129.0,14535,15159,5270,9110,14380.0,1492,50,806,401,219,0,2968,0.0,0.0,0.0,40092.0,91,3315,7,3322,0.0,15687,11655,0.0,(5) LUMBINI - Hill
39,PYUTHAN,12.0,9641,18704,5524,12143,17667.0,1594,55,522,245,465,0,2881,0.0,0.0,0.0,111477.0,19,4025,1,4026,0.0,14667,10897,0.0,(5) LUMBINI - Hill
40,SALYAN,278.0,13535,19579,5026,13490,18516.0,3206,60,833,245,265,1,4610,0.0,0.0,0.0,24348.0,757,3855,58,3913,0.0,17764,13198,0.0,(6) KARNALI - Hill
41,JAJARKOT,6021.0,5869,9102,3002,8763,11765.0,975,83,617,47,203,0,1925,0.0,0.0,0.0,14589.0,91,2298,5,2303,1097.0,24675,18333,0.0,(6) KARNALI - Hill
42,DAILEKH,154.0,9438,24351,5408,13942,19350.0,2145,50,578,142,167,0,3082,0.0,0.0,0.0,43020.0,313,6776,26,6802,1256.0,14774,10977,0.0,(6) KARNALI - Hill
43,SURKHET,265.0,19904,9317,11405,8419,19824.0,2456,24,1634,368,789,2,5273,0.0,0.0,0.0,111258.0,2028,10525,162,10687,3816.0,11608,8624,0.0,(6) KARNALI - Hill
44,DANG,317.0,18630,31882,9984,18043,28027.0,3507,115,3352,679,1604,4,9261,106.0,74.0,700.0,411349.0,3223,54787,260,55047,0.0,34091,25329,0.0,(5) LUMBINI - Terai
45,BANKE,3963.0,14060,36201,8956,31062,40018.0,3256,42,1652,620,785,1,6356,27.0,41.0,1519.0,194508.0,858,13063,65,13128,0.0,11609,8625,0.0,(5) LUMBINI - Terai
46,BARDIYA,559.0,15932,27931,10792,27784,38576.0,3405,35,1758,610,474,1,6283,10.0,12.0,1200.0,123536.0,1214,15457,92,15549,0.0,13025,9677,0.0,(5) LUMBINI - Terai
47,BAJURA,1262.0,12019,5534,4887,4801,9688.0,708,66,451,26,38,0,1289,0.0,0.0,0.0,9844.0,198,852,15,867,285.0,19672,14616,89.0,(7) SUDUR PASCHIM - Himalayan
48,BAJHANG,724.0,15936,9679,4600,4149,8749.0,1208,89,572,34,40,0,1943,0.0,0.0,0.0,8917.0,188,985,14,999,148.0,26452,19653,381.0,(7) SUDUR PASCHIM - Himalayan
49,DARCHULA,753.0,9682,8560,4548,7430,11978.0,768,68,437,9,31,0,1313,0.0,0.0,0.0,6723.0,101,778,6,784,522.0,22861,16985,422.0,(7) SUDUR PASCHIM - Himalayan
50,ACHHAM,95.0,5796,10381,3321,9010,12331.0,1329,10,710,6,47,0,2102,0.0,0.0,0.0,12096.0,143,1905,9,1914,0.0,3085,2400,0.0,(7) SUDUR PASCHIM - Hill
51,DOTI,252.0,15432,10381,7843,9010,16853.0,1625,2,840,40,106,0,2613,0.0,0.0,0.0,22999.0,80,3622,7,3629,432.0,662,491,0.0,(7) SUDUR PASCHIM - Hill
52,BAITADI,484.0,9845,12699,4641,10184,14825.0,1727,1,730,12,14,0,2484,0.0,0.0,0.0,3509.0,107,594,6,600,0.0,304,225,0.0,(7) SUDUR PASCHIM - Hill
53,DADELDHURA,241.0,13963,6108,7045,5301,12346.0,1011,1,823,29,70,0,1934,0.0,0.0,0.0,10131.0,205,1596,17,1613,0.0,315,234,0.0,(7) SUDUR PASCHIM - Hill
54,DHANKUTA,0.0,12523,5391,8176,4579,12755.0,1521,2,405,462,471,2,2863,0.0,0.0,0.0,120878.0,1400,1878,109,1987,213.0,577,324,0.0,(1) KOSHI - Hill
55,SAPTARI,0.0,31790,41650,16654,25228,41882.0,3867,7,2200,360,1301,15,7750,0.0,0.0,0.0,158952.0,13498,18082,1060,19142,0.0,2033,1510,0.0,(2) MADHESH - Terai
